id,home_accurateCrosses,home_accurateFinalThirdPassesAgainst,home_accurateLongBalls,home_accurateOppositionHalfPasses,home_accurateOppositionHalfPassesAgainst,home_accurateOwnHalfPasses,home_accurateOwnHalfPassesAgainst,home_accuratePasses,home_accuratePassesAgainst,home_aerialDuelsWon,home_assists,home_averageBallPossession,home_avgRating,home_bigChances,home_bigChancesAgainst,home_bigChancesCreated,home_bigChancesCreatedAgainst,home_bigChancesMissed,home_bigChancesMissedAgainst,home_cleanSheets,home_clearances,home_clearancesAgainst,home_clearancesOffLine,home_corners,home_cornersAgainst,home_crossesSuccessfulAgainst,home_crossesTotalAgainst,home_dribbleAttempts,home_dribbleAttemptsTotalAgainst,home_dribbleAttemptsWonAgainst,home_duelsWon,home_errorsLeadingToGoal,home_errorsLeadingToGoalAgainst,home_errorsLeadingToShot,home_errorsLeadingToShotAgainst,home_fastBreakGoals,home_fastBreakShots,home_fastBreaks,home_fouls,home_freeKickGoals,home_freeKickShots,home_goalsConceded,home_goalsFromInsideTheBox,home_goalsFromOutsideTheBox,home_goalsScored,home_groundDuelsWon,home_headedGoals,home_hitWoodwork,home_hitWoodworkAgainst,home_interceptions,home_interceptionsAgainst,home_keyPassesAgainst,home_lastManTackles,home_leftFootGoals,home_longBallsSuccessfulAgainst,home_longBallsTotalAgainst,home_matches,home_offsides,home_offsidesAgainst,home_oppositionHalfPassesTotalAgainst,home_ownGoals,home_ownHalfPassesTotalAgainst,home_penaltiesCommited,home_penaltiesTaken,home_penaltyGoals,home_penaltyGoalsConceded,home_possessionLost,home_redCards,home_redCardsAgainst,home_rightFootGoals,home_saves,home_shots,home_shotsAgainst,home_shotsBlockedAgainst,home_shotsFromInsideTheBox,home_shotsFromInsideTheBoxAgainst,home_shotsFromOutsideTheBox,home_shotsFromOutsideTheBoxAgainst,home_shotsOffTarget,home_shotsOffTargetAgainst,home_shotsOnTarget,home_shotsOnTargetAgainst,home_successfulDribbles,home_tackles,home_tacklesAgainst,home_totalAerialDuels,home_totalCrosses,home_totalDuels,home_totalFinalThirdPassesAgainst,home_totalGroundDuels,home_totalLongBalls,home_totalOppositionHalfPasses,home_totalOwnHalfPasses,home_totalPasses,home_totalPassesAgainst,home_yellowCards,home_yellowCardsAgainst,home_yellowRedCards,away_accurateCrosses,away_accurateFinalThirdPassesAgainst,away_accurateLongBalls,away_accurateOppositionHalfPasses,away_accurateOppositionHalfPassesAgainst,away_accurateOwnHalfPasses,away_accurateOwnHalfPassesAgainst,away_accuratePasses,away_accuratePassesAgainst,away_aerialDuelsWon,away_assists,away_averageBallPossession,away_avgRating,away_bigChances,away_bigChancesAgainst,away_bigChancesCreated,away_bigChancesCreatedAgainst,away_bigChancesMissed,away_bigChancesMissedAgainst,away_cleanSheets,away_clearances,away_clearancesAgainst,away_clearancesOffLine,away_corners,away_cornersAgainst,away_crossesSuccessfulAgainst,away_crossesTotalAgainst,away_dribbleAttempts,away_dribbleAttemptsTotalAgainst,away_dribbleAttemptsWonAgainst,away_duelsWon,away_errorsLeadingToGoal,away_errorsLeadingToGoalAgainst,away_errorsLeadingToShot,away_errorsLeadingToShotAgainst,away_fastBreakGoals,away_fastBreakShots,away_fastBreaks,away_fouls,away_freeKickGoals,away_freeKickShots,away_goalsConceded,away_goalsFromInsideTheBox,away_goalsFromOutsideTheBox,away_goalsScored,away_groundDuelsWon,away_headedGoals,away_hitWoodwork,away_hitWoodworkAgainst,away_interceptions,away_interceptionsAgainst,away_keyPassesAgainst,away_lastManTackles,away_leftFootGoals,away_longBallsSuccessfulAgainst,away_longBallsTotalAgainst,away_matches,away_offsides,away_offsidesAgainst,away_oppositionHalfPassesTotalAgainst,away_ownGoals,away_ownHalfPassesTotalAgainst,away_penaltiesCommited,away_penaltiesTaken,away_penaltyGoals,away_penaltyGoalsConceded,away_possessionLost,away_redCards,away_redCardsAgainst,away_rightFootGoals,away_saves,away_shots,away_shotsAgainst,away_shotsBlockedAgainst,away_shotsFromInsideTheBox,away_shotsFromInsideTheBoxAgainst,away_shotsFromOutsideTheBox,away_shotsFromOutsideTheBoxAgainst,away_shotsOffTarget,away_shotsOffTargetAgainst,away_shotsOnTarget,away_shotsOnTargetAgainst,away_successfulDribbles,away_tackles,away_tacklesAgainst,away_totalAerialDuels,away_totalCrosses,away_totalDuels,away_totalFinalThirdPassesAgainst,away_totalGroundDuels,away_totalLongBalls,away_totalOppositionHalfPasses,away_totalOwnHalfPasses,away_totalPasses,away_totalPassesAgainst,away_yellowCards,away_yellowCardsAgainst,away_yellowRedCards
9603118,96,2103,849,8546,4543,6689,4164,15139,8605,299,43,61,7.1077858880779,82,42,64,29,46,27,12,338,553,2,166,103,102,486,577,368,213,1416,3,6,10,7,5,21,24,300,0,18,21,53,6,59,1117,6,9,8,236,256,215,1,17,768,1450,28,87,21,6255,0,4698,3,7,6,2,3240,0,3,35,72,481,293,75,295,180,186,113,167,125,187,93,338,417,444,545,491,2596,2959,2051,1214,10323,7177,17009,10467,53,59,0,133,1380,658,7975,2909,6576,3588,14418,6403,334,38,65,6.9712158808933,82,36,63,30,47,24,7,328,531,1,152,91,94,386,546,343,174,1461,2,1,8,5,3,14,16,365,0,10,29,47,5,52,1127,11,14,4,226,282,190,1,6,671,1512,27,64,63,4612,0,4232,0,7,6,0,3477,5,4,34,55,364,256,62,245,169,119,87,153,110,135,84,339,413,471,638,556,2747,2200,2109,1045,9818,7097,16359,8458,64,70,3
9594323,160,1503,608,3777,3188,5336,4041,8953,7136,472,27,54,6.8713924050633,62,59,50,46,36,37,4,478,620,2,126,137,93,400,371,492,280,1431,1,3,4,4,2,6,8,314,0,7,39,33,4,37,959,13,10,11,347,287,233,2,7,797,1724,26,53,62,5329,1,4833,0,0,0,0,4084,1,0,16,75,354,328,79,239,215,115,113,173,134,114,115,191,439,366,906,615,2806,2580,1900,1250,6048,6109,11542,9762,48,46,1,111,1552,599,5704,3298,7053,4468,12646,7658,337,41,59,6.9511811023622,76,49,54,39,36,25,6,378,441,1,145,111,108,395,479,413,221,1333,5,6,3,4,5,14,18,276,1,18,37,55,7,66,996,9,13,6,268,392,197,0,26,655,1521,26,51,52,5188,2,5185,4,7,7,4,3761,1,0,27,74,369,288,68,258,198,111,90,138,111,144,109,275,419,443,632,389,2554,2519,1922,1075,7718,7763,15092,9978,49,56,1
9645078,102,2701,568,4840,5605,5178,4679,9916,10189,385,26,50,6.8082547169811,43,50,34,36,26,25,9,467,446,0,136,108,95,463,403,376,221,1365,0,1,4,4,1,10,11,344,1,11,43,23,8,32,980,7,17,12,264,265,255,0,8,790,1515,28,38,62,7558,2,5331,7,4,3,7,3624,5,4,16,93,324,348,77,181,204,143,144,132,139,110,132,227,376,373,777,451,2673,3705,1896,1096,6788,5908,12245,12426,72,66,3,124,1763,552,6544,4023,5461,5386,11881,9317,508,38,54,6.924882629108,64,46,51,35,38,26,9,356,461,4,149,108,92,364,484,450,240,1564,3,2,1,4,3,11,14,389,0,12,31,39,8,50,1056,4,9,10,344,313,216,1,22,833,1740,28,48,52,6077,1,6280,3,4,3,2,4120,2,1,21,64,413,290,76,278,176,135,114,155,117,129,97,265,444,480,892,459,3035,2805,2143,1148,8804,6173,14518,11993,63,75,1
9594768,124,1573,661,7276,3627,7605,5184,14757,8723,265,30,61,6.9522613065327,59,52,46,36,38,38,11,303,455,0,171,115,88,374,439,382,204,1239,1,1,3,3,1,11,12,248,2,22,26,36,6,43,974,5,12,6,232,305,188,2,16,654,1306,28,43,86,5255,1,5697,3,4,4,3,3307,3,5,21,61,381,250,47,244,163,137,87,157,119,119,84,247,419,446,513,480,2377,2420,1864,1055,9089,8126,16735,10578,47,64,1,120,2356,523,5088,5259,6199,5870,11167,10994,386,26,50,6.9147619047619,67,45,48,35,41,30,12,444,437,6,134,133,135,534,538,456,223,1386,0,3,2,5,2,20,22,332,1,7,21,32,6,38,1000,3,10,7,330,263,239,1,6,802,1539,28,42,47,7254,0,6480,4,8,6,3,3657,4,2,28,86,308,339,93,211,206,97,133,129,132,112,114,302,445,490,733,464,2763,3344,2030,1007,7014,6823,13373,13200,59,40,1
9620033,99,2284,584,3556,4515,4639,4178,8096,8577,470,18,48,6.8267532467533,25,47,15,33,16,32,7,501,390,2,113,159,116,512,472,392,209,1463,1,0,3,2,1,9,10,380,1,17,30,19,4,25,993,4,6,10,275,246,283,0,4,768,1467,26,60,34,6530,2,4717,0,4,2,0,3499,4,1,15,83,303,398,112,163,220,140,178,138,175,96,111,258,373,401,880,400,2846,3321,1966,1103,5487,5195,10282,10735,91,78,2,97,1396,762,5118,3396,5754,5228,10775,8534,398,26,54,6.8717444717445,70,42,48,32,40,29,11,379,396,3,116,112,90,387,388,388,232,1293,3,2,3,0,0,7,7,385,2,10,25,35,6,41,895,3,9,4,262,320,170,0,10,723,1700,26,47,60,5388,0,5991,1,6,5,1,3717,3,4,28,55,345,265,74,209,150,136,115,143,108,128,83,206,359,407,794,398,2697,2348,1903,1399,7147,6480,13229,10992,67,78,1
9620021,96,1899,536,2925,4294,4370,5640,7199,9821,372,24,44,6.7891891891892,37,57,26,44,21,31,5,454,352,2,115,133,113,477,498,472,245,1439,3,4,2,3,1,10,11,392,0,16,39,27,4,31,1067,5,5,4,284,228,221,0,13,788,1541,26,43,60,6276,0,6183,4,3,2,4,3439,6,1,13,66,306,297,77,164,187,142,110,132,114,101,106,268,430,414,747,407,2844,2933,2097,1066,4710,5027,9330,11982,89,81,3,119,928,686,6140,2121,5760,3480,11781,5536,393,49,63,7.0609022556391,103,28,83,21,55,15,10,298,579,2,166,80,65,289,519,443,231,1453,1,6,4,4,4,16,18,397,1,20,19,59,6,67,1060,9,12,4,245,289,121,0,19,634,1476,26,47,48,3643,0,4316,3,4,3,2,3432,6,13,35,37,471,183,41,333,99,138,84,184,84,177,58,283,439,400,779,446,2844,1614,2065,1090,8147,6209,13910,7670,67,97,3
9564663,86,2215,507,4171,4794,3844,5291,7929,9954,367,18,46,6.7107416879795,29,67,25,47,17,44,4,550,495,6,118,126,131,464,481,437,251,1297,6,4,4,3,2,10,12,220,0,8,44,16,4,21,930,3,7,10,241,251,288,0,14,801,1716,26,39,39,7033,1,6073,3,0,0,2,4168,6,3,3,89,265,382,102,151,233,114,149,130,142,71,138,271,426,440,850,492,2675,3439,1825,1197,6467,4582,10557,12642,32,40,2,131,1529,622,5783,3496,6150,5094,11802,8511,441,38,56,6.9302631578947,67,31,50,19,37,18,4,357,456,4,146,92,79,340,415,447,240,1339,6,5,6,5,3,8,10,265,0,9,30,39,10,50,898,10,10,6,265,285,185,0,12,731,1724,26,61,47,5603,0,5891,0,6,5,0,3996,1,3,27,70,338,276,52,223,153,115,123,130,120,134,104,235,451,417,867,493,2668,2617,1801,1177,7957,6882,14346,11154,42,36,0
9564935,135,2679,693,4268,5520,3893,6482,8026,11886,601,20,42,6.8448512585812,38,45,28,35,20,27,9,612,529,0,145,147,116,559,362,417,194,1670,1,1,1,1,4,9,11,427,0,15,38,28,4,34,1069,5,5,6,382,326,274,0,6,1162,2333,31,51,69,8474,0,7485,4,4,4,3,5087,3,2,21,72,363,361,84,203,219,160,142,149,167,116,110,181,570,477,1180,563,3312,4244,2132,1514,7131,4742,11310,15400,74,55,1,102,3170,737,4002,6368,4423,5461,8323,11680,536,22,44,6.7538636363636,30,79,19,60,20,45,3,572,616,4,173,175,149,615,359,495,245,1631,4,4,2,0,1,8,9,374,1,10,65,23,5,30,1095,3,7,8,374,315,350,1,9,1133,2121,31,49,53,9074,2,6197,7,4,2,5,4780,9,5,16,113,364,468,109,210,296,154,172,149,179,121,180,157,596,484,1082,520,3245,4642,2163,1511,6675,5291,11446,14656,75,62,3
10021199,12,279,33,353,608,289,696,630,1292,45,7,37,6.9558139534884,15,3,14,3,11,2,0,65,52,0,17,15,12,53,46,83,49,194,0,0,0,0,1,2,3,63,0,1,3,6,1,7,149,1,1,0,42,25,19,0,1,92,198,3,2,3,881,0,814,0,1,0,0,500,0,0,5,5,50,23,8,39,16,11,7,13,7,24,8,22,92,55,90,46,403,415,313,131,627,376,957,1642,8,3,0,19,181,63,669,418,538,609,1188,1017,31,6,53,6.9512195121951,9,4,5,3,5,1,1,28,68,0,22,14,10,35,81,42,28,145,0,0,0,0,1,3,3,41,1,2,4,5,4,9,114,0,1,0,36,30,19,0,1,61,149,3,7,2,621,0,700,1,0,0,1,426,0,2,8,6,54,22,5,30,15,24,7,20,7,20,10,42,38,65,69,61,317,276,248,116,886,595,1420,1286,10,7,0
10021192,16,170,72,514,391,815,482,1313,859,21,8,59,7.01875,8,2,8,2,2,1,1,38,70,0,17,10,14,34,41,44,27,119,1,0,1,1,1,1,2,46,0,0,2,9,0,10,98,2,0,2,22,43,29,0,1,75,157,3,4,2,567,0,548,0,0,0,0,383,0,0,6,7,43,40,13,31,24,12,16,19,18,11,9,25,39,42,51,59,260,273,209,123,725,884,1550,1081,10,9,0,11,299,55,418,684,690,527,1097,1199,30,1,48,6.7170212765957,4,10,2,6,1,7,0,55,52,0,11,13,12,52,45,58,28,144,0,0,3,0,0,0,0,30,0,0,4,3,0,3,114,1,1,2,25,22,29,0,0,92,173,3,3,4,911,0,586,0,1,1,0,429,0,0,2,9,26,40,9,18,26,8,14,12,18,10,13,28,51,43,80,54,291,416,211,128,632,799,1377,1445,9,4,0
